id	src_audio	src_n_frames	tgt_audio	tgt_n_frames
4761	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/4761.wav	166	71 63 86 24 68 9 29 28 23 60 50 76 97 65 6 15 7 87 42 6 15 41 84 63 96 55 72 20	28
10857	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/10857.wav	150	71 63 93 3 24 13 58 17 19 74 27 31 23 69 70 14 76 62 74 21 95 49 99 92 82 73 74 27 47 52 24 61 43 6 15 7 87 9 43 6 15 92 63 31 59 33 68 16 18 66 27 3 90 35 9 74 70 14 19 1 27 47 11 64 60 70 52 25 42 74 85 80 81 83 72 63 72 20	78
6469	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/6469.wav	297	71 40 93 63 86 68 80 18 85 5 65 6 15 36 49 92 63 78 48 46 30 65 75 33 13 58 32 99 90 35 58 32 64 74 2 50 87 97 81 1 27 31 83 84 72 20	46
10093	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/10093.wav	223	71 40 93 70 52 25 11 32 64 44 80 85 94 32 64 42 16 50 81 83 84 63 22 72 20	25
2902	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/2902.wav	437	71 72 47 59 35 94 32 64 65 6 15 92 82 11 64 37 63 37 94 32 64 85 73 65 6 15 36 49 92 63 47 87 94 32 1 66 6 15 92 23 26 87 91 43 2 6 15 92 31 23 99 82 62 6 15 7 87 68 16 77 42 44 80 85 73 16 6 15 49 92 27 77 87 94 32 1 27 2 15 41 63 96 55 67 72 20	86
112	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/112.wav	163	71 40 93 66 52 25 97 51 19 81 83 84 63 22 72 20	16
11463	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/11463.wav	460	71 12 93 47 52 24 61 9 1 21 95 87 68 9 74 2 31 60 3 77 52 30 65 29 21 95 23 42 80 81 84 96 55 39 67 54 63 40 63 31 59 23 53 16 74 77 76 73 74 89 78 90 35 11 64 53 73 65 3 77 98 69 44 80 26 68 16 18 47 5 30 65 6 36 15 7 87 68 9 16 74 27 47 52 25 32 85 23 62 1 66 27 77 24 13 58 32 85 42 83 84 96 55 83 63 22 63 40 63 40 93 63 77 24 13 58 32 1 66 99 15 87 94 38 16 66 27 47 77 19 70 14 68 42 44 80 81 83 72 22 72 40 63 93 29 15 28 7 45 0 30 25 91 17 97 81 83 84 22 63 40 63 40 93 29 15 28 87 45 0 30 25 97 65 3 77 76 68 42 74 2 27 31 41 83 84 72 20	188
2801	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/2801.wav	235	71 93 63 93 52 25 73 16 50 77 69 16 3 99 63 82 53 62 1 74 27 31 36 59 98 53 69 14 76 73 77 99 66 63 31 87 24 13 58 16 50 42 81 6 15 41 72 22 72 20	50
3225	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/3225.wav	192	71 40 63 93 26 13 58 44 85 73 16 77 99 27 78 33 35 68 42 16 1 66 47 29 15 41 83 72 63 72 22 63 72 20	34
10594	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/10594.wav	298	71 93 63 93 50 53 62 6 15 7 23 53 88 18 90 35 97 65 27 89 59 94 32 65 6 95 23 44 80 85 73 16 3 2 27 63 3 33 35 68 9 1 89 87 38 44 80 18 66 27 47 52 30 65 6 15 7 87 91 38 44 18 31 87 37 86 91 43 6 15 41 84 72 22 72 22 72 20	78
3527	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/3527.wav	1392	71 12 86 68 73 19 90 35 53 62 6 36 92 31 23 73 77 6 15 36 92 31 21 52 25 38 88 18 29 15 99 82 87 9 74 27 89 33 68 16 50 76 44 80 82 73 3 48 46 30 16 50 73 16 77 73 74 27 78 76 44 18 27 31 59 33 68 16 74 27 47 19 81 83 96 55 39 67 54 40 63 93 26 94 32 64 16 50 81 83 10 96 10 34 67 54 40 63 93 70 14 76 53 38 42 44 80 18 29 15 41 84 96 55 39 67 54 40 63 31 59 33 97 76 85 19 1 66 89 94 32 16 80 18 29 15 49 92 27 47 90 35 94 32 64 1 85 10 84 96 55 39 67 54 40 63 93 82 87 91 43 6 15 49 92 31 59 33 13 58 42 16 80 81 83 63 22 63 40 63 86 53 44 80 18 6 15 7 87 91 43 74 2 89 42 18 6 15 41 84 96 55 39 67 54 40 63 86 38 44 18 85 60 70 14 46 30 65 6 15 36 92 31 59 33 13 58 42 16 50 81 83 63 22 63 56 63 40 63 40 63 86 51 19 65 6 15 7 87 97 76 44 80 18 6 15 7 87 91 43 74 27 89 42 18 81 2 15 41 84 72 40 93 86 68 44 80 18 27 47 3 59 33 35 94 32 64 1 66 27 89 87 94 32 64 16 80 18 29 28 36 92 31 23 69 80 26 24 61 68 43 44 80 26 11 45 64 1 27 31 23 66 77 11 64 60 52 25 68 43 74 27 47 52 62 29 28 87 68 38 44 18 31 42 1 31 41 83 84 72 22 72 22 72 20	355
5199	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/5199.wav	358	71 93 63 93 52 25 38 44 18 85 23 73 16 90 35 11 64 65 27 47 59 33 35 94 32 65 6 15 92 60 92 63 89 87 91 43 74 2 99 15 7 24 68 44 80 60 70 52 25 11 64 1 31 11 64 0 87 17 19 81 83 84 72 22 63 72 63 72 20	69
3350	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/3350.wav	182	71 40 71 63 93 52 25 73 16 50 77 69 16 77 99 82 73 6 3 77 24 13 58 42 81 77 6 15 41 84 63 72 22 72 20	35
4582	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/4582.wav	530	71 12 63 93 15 7 73 90 35 68 9 43 74 2 63 31 23 73 74 27 89 78 33 24 61 46 30 1 60 3 52 73 16 80 82 73 52 25 62 29 28 7 87 5 0 30 16 3 52 30 65 3 52 30 65 6 15 92 60 63 3 87 17 68 44 80 18 31 85 94 32 65 6 95 23 44 80 18 66 27 47 33 24 13 17 19 81 84 72 63 22 63 22 72 20	95
246	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/246.wav	205	71 40 93 90 35 97 65 74 27 89 59 33 91 17 19 81 83 84 63 22 72 20	22
2380	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/2380.wav	187	71 40 63 93 70 14 76 94 32 64 65 6 15 49 92 31 41 84 55 67 4 72 20	23
6905	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/6905.wav	288	71 63 86 68 44 80 26 94 32 64 60 74 47 19 1 31 73 3 77 24 13 58 32 80 85 37 86 38 9 44 85 11 45 64 74 27 47 52 25 24 61 68 9 1 21 87 9 43 74 2 63 31 59 33 68 16 18 27 3 90 35 53 9 74 85 37 86 53 44 80 18 27 3 52 30 65 6 15 7 87 91 38 44 80 18 66 31 87 91 42 43 6 15 41 84 72 63 72 20	99
2422	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/2422.wav	133	71 40 63 89 87 91 43 2 6 15 41 84 63 22 72 40 72 20	18
8130	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/8130.wav	172	71 63 93 15 7 11 45 64 16 77 11 64 87 91 43 6 15 41 83 84 72 20	22
7916	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/7916.wav	278	71 40 71 63 89 78 59 23 73 16 18 27 3 33 68 51 97 76 44 85 53 44 18 3 52 30 65 6 36 15 36 7 87 5 30 65 74 27 21 95 23 87 94 42 88 81 83 72 63 22 72 20	52
1157	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/1157.wav	290	71 40 63 78 90 35 97 16 27 47 19 75 33 24 61 13 43 74 27 63 89 59 11 64 29 6 15 41 84 63 96 55 67 72 20	35
7601	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/7601.wav	140	71 40 63 89 59 23 73 16 50 77 87 94 38 42 44 80 18 27 31 36 41 84 96 63 22 72 20	27
6568	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/6568.wav	132	71 40 93 63 47 87 24 13 43 74 2 27 89 59 41 83 84 22 72	19
4179	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/4179.wav	192	71 40 71 40 63 93 50 24 61 68 18 27 36 23 11 64 74 27 89 78 33 24 46 30 9 90 35 42 97 81 83 63 22 72 20	35
1437	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/1437.wav	143	71 40 63 93 31 62 6 15 49 92 27 78 52 25 30 16 27 47 21 95 23 87 42 80 81 83 63 22 63 22 72 20	32
3234	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/3234.wav	198	71 12 72 93 3 77 24 13 58 9 16 77 73 16 77 66 27 31 87 24 13 58 32 16 50 42 44 80 18 6 15 41 84 63 22 63 22 72 20	39
7200	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/7200.wav	240	71 40 63 47 3 52 24 61 68 9 1 21 28 87 9 74 2 27 31 60 14 76 62 29 28 87 5 79 1 85 83 72 63 72 20	35
2411	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/2411.wav	175	71 40 93 27 86 45 64 65 6 15 92 27 31 59 75 33 94 32 16 77 87 42 44 80 81 83 84 63 22 63 22 72 20	33
1071	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/1071.wav	207	71 40 93 15 7 87 73 90 35 9 43 74 2 63 31 23 53 62 1 66 27 89 78 33 24 61 19 35 42 16 81 18 6 15 41 84 63 72 63 72 20	41
9091	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/9091.wav	205	71 93 63 86 68 44 80 85 5 30 65 6 15 49 92 27 78 48 46 30 74 27 47 52 25 68 43 65 3 25 44 80 18 15 7 87 42 29 6 15 41 83 84 63 22 72 20	47
7355	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/7355.wav	167	71 40 63 93 82 24 13 58 32 44 80 26 87 0 30 25 11 64 81 83 84 63 22 72 20	25
8666	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/8666.wav	218	71 40 71 93 63 86 68 44 18 85 5 62 65 6 15 49 92 27 78 48 46 30 65 1 27 31 11 64 66 77 24 13 61 17 42 1 66 27 89 41 10 83 84 72 22 72 20	47
694	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/694.wav	215	71 93 63 93 26 87 97 76 1 85 23 62 6 15 49 92 27 78 25 30 16 74 2 65 21 95 23 87 42 80 81 83 84 22 63 22 72 20	38
5806	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/5806.wav	191	71 40 63 93 52 25 73 16 50 77 69 16 77 99 82 62 74 27 31 59 23 53 0 69 79 42 29 6 15 41 83 84 63 22 72 20	36
10988	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/10988.wav	157	71 40 63 93 50 87 38 68 16 50 77 5 30 25 11 64 81 83 84 63 22 72 20	23
2160	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/2160.wav	237	71 40 63 31 45 53 19 90 35 73 44 80 26 68 99 82 5 30 70 52 25 91 17 42 44 80 81 18 31 41 83 63 96 55 39 72 20	37
11195	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/11195.wav	203	71 40 63 86 24 61 9 85 5 73 62 65 6 15 7 87 94 32 42 81 65 3 41 83 84 63 22 72 20	29
8925	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/8925.wav	163	71 40 93 63 31 87 68 43 6 15 92 31 23 53 44 80 26 94 32 65 6 95 23 42 80 81 83 27 63 22 72 20	32
9412	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/9412.wav	487	71 93 63 86 91 9 85 23 62 1 85 5 30 65 74 27 31 59 33 91 9 74 6 15 7 73 19 90 35 43 74 65 95 23 42 80 81 83 84 63 22 63 72 20	44
10928	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/10928.wav	205	71 40 63 93 98 69 29 28 23 5 30 44 80 26 85 94 32 64 42 16 50 81 83 84 63 22 63 22 72 20	30
2713	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/2713.wav	305	71 93 63 93 50 77 69 16 3 77 24 68 37 24 61 68 44 18 31 23 99 82 73 80 26 87 24 13 58 44 85 73 16 99 63 78 33 35 68 42 16 1 27 2 6 15 41 83 72 22 72 20	52
8579	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/8579.wav	237	71 40 93 63 89 59 53 44 80 18 3 77 53 74 89 5 0 30 74 27 47 52 24 61 9 1 27 21 95 87 91 43 74 2 27 31 41 83 72 22 72 20	42
7551	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/7551.wav	183	71 40 63 93 31 87 5 30 52 25 68 43 74 2 27 31 23 5 30 25 11 64 81 83 84 63 22 72 20	29
9236	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/9236.wav	296	71 40 93 15 7 23 73 19 90 35 68 9 43 74 2 31 60 27 3 52 25 97 1 66 78 52 25 38 16 80 18 66 31 59 23 73 52 70 52 25 24 61 13 58 42 80 81 83 63 22 63 22 63 22 63 22 72 20	58
799	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/799.wav	332	71 93 63 82 87 73 90 35 94 32 87 17 68 43 16 3 23 73 99 82 73 62 1 74 27 31 59 33 61 43 74 2 63 3 59 33 94 38 44 85 19 74 27 47 59 33 35 69 1 21 23 44 80 18 66 77 11 98 0 79 97 81 83 72 20	65
10101	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/10101.wav	158	71 40 93 63 86 91 9 85 53 62 1 85 5 30 74 31 59 33 24 13 61 43 1 66 2 6 15 41 83 84 63 22 72 20	34
5439	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/5439.wav	202	71 40 93 63 86 94 32 64 65 6 15 7 23 73 16 77 99 63 78 33 35 68 42 16 1 66 47 6 15 41 83 84 72 20	34
8581	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/8581.wav	166	71 40 71 40 63 93 89 59 23 53 44 80 18 3 77 87 53 1 74 89 98 53 0 30 25 94 32 65 6 36 95 7 87 42 80 81 83 84 63 72 22 72 20	43
4165	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/4165.wav	156	71 40 72 93 21 95 87 53 16 74 27 2 6 15 7 11 64 81 83 63 22 63 72 20	24
9040	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/9040.wav	196	71 40 63 93 86 38 44 80 18 21 28 95 23 69 1 85 23 87 73 16 50 87 94 38 44 80 18 98 69 48 51 19 81 83 63 22 72 20	38
3334	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/3334.wav	333	71 63 93 50 69 16 3 77 37 94 32 64 74 27 31 59 23 69 76 44 80 85 37 86 91 38 16 18 2 27 31 11 45 64 65 3 77 87 24 17 68 44 18 85 94 32 65 95 23 42 81 83 63 72 22 72 63 72 20	59
3925	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/3925.wav	307	71 63 93 50 69 16 3 77 24 68 37 24 61 68 44 18 66 31 23 99 82 73 74 27 78 59 70 14 76 45 64 80 85 73 16 99 66 63 31 87 13 58 32 16 50 42 81 6 15 41 84 72 63 72 22 63 72 20	58
9896	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/9896.wav	177	71 93 63 93 21 95 59 33 13 58 32 64 80 85 11 45 64 6 15 7 53 44 16 18 66 27 3 35 19 73 65 3 77 24 13 58 32 1 27 85 83 84 72 63 72 20	46
2554	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/2554.wav	201	71 40 63 93 70 14 76 53 44 80 18 31 87 97 65 75 33 13 58 32 64 10 83 10 83 84 63 22 72 20	30
6045	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/6045.wav	150	71 40 63 40 93 75 3 7 87 24 13 68 43 42 43 99 2 3 15 41 83 63 84 63 22 72 20	27
5990	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/5990.wav	127	71 40 63 93 98 69 44 80 85 53 73 65 74 27 89 59 33 87 68 17 97 65 1 85 10 83 84 63 22 72 20	31
2299	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/2299.wav	238	71 40 93 63 86 24 68 44 80 90 35 53 44 80 82 53 9 85 53 1 60 52 25 11 64 1 27 31 11 64 87 42 97 19 29 6 15 41 83 84 63 22 63 22 72 20	46
10829	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/10829.wav	253	71 93 63 78 33 35 24 91 43 6 15 49 60 92 63 3 77 24 68 44 18 65 6 95 23 44 80 18 27 3 52 25 11 64 65 3 77 87 42 74 27 2 89 6 15 41 83 84 63 22 63 22 72 20	54
7697	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/7697.wav	142	71 40 63 93 52 25 44 50 77 87 53 69 97 19 65 6 15 41 83 84 63 22 72 20	24
3811	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/3811.wav	190	71 40 63 93 82 73 65 3 48 46 30 73 16 99 27 78 33 35 68 42 16 66 27 47 29 15 41 10 83 63 22 63 72 20	34
6977	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/6977.wav	2500	71 93 63 86 68 44 80 18 85 5 30 65 6 36 49 60 92 27 78 48 46 30 37 86 38 44 18 31 59 5 30 65 6 15 36 7 73 19 90 35 9 43 74 89 65 95 23 62 44 80 18 6 15 92 90 35 24 13 91 43 65 95 23 37 27 86 24 13 58 32 81 10 83 63 40 63 40 63 93 15 7 87 5 30 79 65 74 2 63 21 95 41 83 84 63 22 63 72 20	99
9893	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/9893.wav	201	71 63 12 63 93 15 7 87 5 30 70 52 25 53 97 90 35 53 74 27 89 78 6 15 92 90 35 91 43 6 95 60 52 25 24 68 43 65 6 95 23 42 80 81 83 84 72 63 22 72 20	51
10306	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/10306.wav	170	71 40 93 63 90 35 97 65 74 27 89 59 94 32 65 6 36 49 7 87 42 44 80 81 83 84 72 63 72 22 72 20	32
9782	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/9782.wav	192	71 40 63 93 86 53 44 80 18 65 15 7 5 30 1 85 53 37 53 44 18 31 23 73 16 27 47 77 24 68 43 65 3 77 5 79 81 83 84 63 22 63 72 20	44
7532	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/7532.wav	292	71 93 63 86 53 44 80 18 6 15 92 31 87 24 51 19 75 33 48 51 19 65 74 27 47 3 52 25 24 61 9 1 27 21 87 91 42 43 74 2 63 31 41 84 72 22 72 20	48
1505	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/1505.wav	148	71 12 93 6 15 49 92 31 87 24 46 30 79 74 27 31 41 10 83 84 22 40 63 40 63 47 3 52 30 65 6 15 7 87 38 44 80 18 66 2 27 63 31 11 64 81 83 84 72 20	50
6148	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/6148.wav	143	71 40 93 63 93 98 69 29 28 60 52 25 73 16 77 53 62 65 95 23 87 42 80 81 83 84 72 22 72 20	30
11294	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/11294.wav	242	71 63 86 68 44 18 85 5 65 6 15 49 92 27 78 48 46 30 90 35 24 13 58 32 80 26 87 68 16 18 66 77 5 30 16 50 24 46 30 65 1 27 21 95 87 42 44 80 81 83 84 63 22 72 20	55
4364	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/4364.wav	251	71 93 63 93 47 87 94 32 65 6 15 36 92 27 89 78 33 24 61 46 79 1 85 10 83 84 63 40 63 40 63 78 33 14 76 11 45 64 44 80 81 10 83 72 22 63 72 20	48
10501	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/10501.wav	205	71 93 63 86 68 44 80 85 5 30 65 6 15 49 92 27 78 48 46 30 74 27 47 52 25 68 43 65 3 25 44 80 18 15 7 87 42 29 6 15 41 83 84 63 22 72 20	47
5367	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/5367.wav	133	71 40 63 89 87 91 43 2 6 15 41 84 63 22 72 40 72 20	18
9124	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/9124.wav	201	71 63 93 6 95 7 87 97 65 74 27 78 33 24 51 19 74 31 23 87 42 74 2 63 47 6 15 41 84 72 63 72 22 72 20	35
4326	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/4326.wav	197	71 93 86 68 44 18 85 5 30 65 6 15 36 49 92 27 78 48 46 30 74 27 89 59 23 44 80 18 21 95 59 52 25 48 51 19 81 83 63 22 72 20	42
6847	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/6847.wav	273	71 40 63 47 52 25 97 65 3 77 24 13 58 17 90 35 88 18 27 31 87 94 32 1 85 87 42 81 83 84 63 22 72 20	34
10010	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/10010.wav	153	71 40 63 93 50 35 97 74 27 89 78 24 51 19 81 83 84 96 55 84 63 22 72 20	24
9259	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/9259.wav	282	71 93 90 35 11 45 64 77 87 53 94 88 81 10 83 63 40 63 40 63 93 47 52 30 65 6 36 15 7 87 91 38 44 80 18 27 31 37 27 86 91 43 6 15 41 84 72 22 72 22 72 20	52
5238	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/5238.wav	166	71 63 93 6 36 7 87 68 43 3 48 51 19 16 50 24 68 97 79 76 42 1 27 85 41 83 84 63 22 72 20	31
2692	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/2692.wav	383	71 40 71 93 63 93 50 69 16 3 77 24 68 37 24 61 68 44 18 31 23 99 82 62 74 27 31 59 33 91 43 16 27 47 19 35 42 17 97 81 83 84 72 22 72 20	46
3033	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/3033.wav	152	71 40 72 93 47 52 25 62 6 15 92 31 87 24 97 51 19 81 83 84 63 84 22 72 20	25
1903	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/1903.wav	233	71 93 63 86 73 66 47 87 17 68 19 65 74 6 15 7 87 24 51 19 35 62 1 74 31 59 94 0 79 81 83 84 63 22 63 22 63 72 20	39
6426	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/6426.wav	265	71 12 63 93 15 49 92 31 60 52 25 11 64 16 18 27 89 78 33 61 16 50 77 87 38 44 18 66 27 82 62 6 15 7 73 19 90 35 9 43 74 2 63 31 23 62 1 66 27 31 59 33 91 43 74 2 63 2 15 92 31 41 84 63 72 20	66
10253	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/10253.wav	211	71 63 86 68 44 18 85 5 30 65 6 36 15 49 60 92 27 78 48 46 30 70 52 25 11 64 65 6 15 7 87 91 9 74 2 63 2 15 92 90 35 24 91 43 6 95 60 52 30 16 77 5 79 27 31 41 83 72 22 72 20	61
626	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/626.wav	215	71 40 63 93 26 87 97 1 85 62 6 15 49 60 27 78 52 25 30 16 27 65 21 95 23 87 42 80 81 83 84 63 22 63 22 72 20	37
8766	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/8766.wav	200	71 40 63 93 3 63 3 24 13 58 17 19 16 50 94 38 44 85 62 1 21 95 5 79 81 83 84 72 22 72 20	31
2888	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/2888.wav	416	71 40 63 47 59 35 76 32 65 6 15 92 82 62 6 15 7 53 74 2 89 15 7 23 73 16 99 2 63 78 33 35 68 16 1 47 29 15 92 26 87 91 9 43 74 89 6 15 92 31 23 99 82 73 3 77 24 13 58 32 16 77 73 3 99 27 78 33 35 24 68 42 16 1 66 2 99 15 41 84 72 63 72 20	84
3338	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/3338.wav	385	71 93 63 93 26 87 97 19 65 75 53 44 18 27 31 36 23 73 16 66 77 87 94 0 17 19 73 16 27 77 19 70 52 25 58 32 74 2 26 87 91 17 19 81 83 84 72 20	48
7919	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/7919.wav	307	71 63 93 15 7 45 65 74 27 47 90 35 68 9 6 15 49 92 63 47 33 35 24 68 43 6 15 92 90 35 91 43 6 95 92 84 63 21 95 45 11 45 64 53 73 16 66 21 87 9 43 74 2 27 31 60 27 78 33 35 24 91 43 6 15 41 84 72 20	69
4669	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/4669.wav	178	71 40 93 15 92 31 23 62 74 27 31 59 75 53 62 6 15 92 31 87 9 43 74 27 89 6 15 41 83 84 63 22 72 20	34
1669	/teamspace/studios/this_studio/lastchance/SRC_AUDIO/train/1669.wav	153	71 40 63 21 28 23 62 44 80 26 94 0 30 25 42 65 74 2 27 89 41 83 84 63 22 72 20	27
